label,loc_radius,loc_theta,loc_x,loc_y,loc_z,loc_radius_sph,loc_theta_sph,loc_phi_sph
MEG 113,1.71,148.67,-1.46,0.89,0.0,1.7,148.5,0.0
MEG 112,1.62,146.81,-1.36,0.89,0.0,1.62,146.81,0.0
MEG 111,1.66,147.76,-1.41,0.89,0.0,1.66,147.58,0.0
MEG 122,1.5,138.74,-1.13,0.99,0.0,1.5,138.74,0.0
MEG 123,1.43,136.07,-1.03,0.99,0.0,1.43,136.07,0.0
MEG 121,1.46,137.44,-1.08,0.99,0.0,1.46,137.44,0.0
MEG 132,1.37,155.05,-1.25,0.58,0.0,1.38,154.68,0.0
MEG 133,1.28,153.14,-1.15,0.58,0.0,1.29,152.74,0.0
MEG 131,1.33,154.13,-1.2,0.58,0.0,1.33,154.13,0.0
MEG 143,1.55,166.28,-1.5,0.37,0.0,1.55,166.29,0.0
MEG 142,1.5,165.81,-1.45,0.37,0.0,1.5,165.82,0.0
MEG 141,1.55,166.28,-1.5,0.37,0.0,1.55,166.29,0.0
MEG 213,1.14,150.57,-0.99,0.56,0.0,1.14,151.01,0.0
MEG 212,1.06,147.86,-0.89,0.56,0.0,1.07,148.15,0.0
MEG 211,1.1,149.27,-0.94,0.56,0.0,1.1,149.27,0.0
MEG 222,0.97,143.04,-0.78,0.58,0.0,0.97,143.04,0.0
MEG 223,0.89,139.13,-0.68,0.58,0.0,0.89,139.14,0.0
MEG 221,0.93,141.17,-0.73,0.58,0.0,0.93,141.17,0.0
MEG 232,0.84,161.85,-0.8,0.26,0.0,0.84,161.85,0.0
MEG 233,0.75,159.41,-0.7,0.26,0.0,0.75,159.41,0.0
MEG 231,0.8,160.7,-0.75,0.26,0.0,0.79,160.46,0.0
MEG 243,1.04,169.41,-1.02,0.19,0.0,1.03,169.3,0.0
MEG 242,0.94,168.24,-0.92,0.19,0.0,0.94,168.24,0.0
MEG 241,0.99,168.85,-0.97,0.19,0.0,0.99,168.85,0.0
MEG 313,1.4,122.38,-0.75,1.18,0.0,1.4,122.38,0.0
MEG 312,1.35,118.77,-0.65,1.18,0.0,1.35,118.77,0.0
MEG 311,1.38,120.61,-0.7,1.18,0.0,1.38,120.61,0.0
MEG 322,1.11,127.78,-0.68,0.87,0.0,1.11,127.79,0.0
MEG 323,1.05,123.43,-0.58,0.87,0.0,1.05,123.43,0.0
MEG 321,1.08,125.67,-0.63,0.87,0.0,1.08,125.67,0.0
MEG 333,0.94,121.15,-0.49,0.81,0.0,0.94,121.15,0.0
MEG 332,0.89,115.63,-0.39,0.81,0.0,0.9,115.37,0.0
MEG 331,0.92,118.46,-0.44,0.81,0.0,0.92,118.46,0.0
MEG 343,1.27,135.5,-0.91,0.89,0.0,1.27,135.5,0.0
MEG 342,1.2,132.13,-0.81,0.89,0.0,1.21,132.49,0.0
MEG 341,1.24,133.86,-0.86,0.89,0.0,1.24,133.87,0.0
MEG 413,0.79,135.5,-0.56,0.56,0.0,0.79,135.5,0.0
MEG 412,0.72,129.9,-0.46,0.56,0.0,0.72,129.9,0.0
MEG 411,0.76,132.82,-0.51,0.56,0.0,0.75,133.34,0.0
MEG 422,0.64,123.94,-0.35,0.53,0.0,0.64,123.94,0.0
MEG 423,0.59,115.75,-0.25,0.53,0.0,0.58,116.18,0.0
MEG 421,0.61,120.01,-0.3,0.53,0.0,0.61,120.01,0.0
MEG 432,0.46,142.63,-0.36,0.28,0.0,0.46,141.65,0.0
MEG 433,0.38,133.38,-0.26,0.28,0.0,0.38,133.38,0.0
MEG 431,0.42,138.41,-0.31,0.28,0.0,0.42,138.41,0.0
MEG 443,0.65,153.93,-0.58,0.28,0.0,0.64,154.34,0.0
MEG 442,0.56,149.36,-0.48,0.29,0.0,0.55,149.72,0.0
MEG 441,0.6,151.81,-0.53,0.29,0.0,0.6,151.82,0.0
MEG 513,1.47,111.65,-0.54,1.37,0.0,1.47,111.65,0.0
MEG 512,1.44,107.93,-0.44,1.37,0.0,1.44,107.93,0.0
MEG 511,1.45,109.81,-0.49,1.37,0.0,1.45,109.81,0.0
MEG 523,1.5,101.66,-0.3,1.47,0.0,1.5,101.66,0.0
MEG 522,1.48,97.86,-0.2,1.47,0.0,1.48,97.87,0.0
MEG 521,1.49,99.77,-0.25,1.47,0.0,1.49,99.77,0.0
MEG 532,1.27,102.34,-0.27,1.24,0.0,1.27,102.34,0.0
MEG 533,1.25,97.85,-0.17,1.24,0.0,1.25,97.85,0.0
MEG 531,1.26,100.11,-0.22,1.24,0.0,1.26,100.11,0.0
MEG 542,1.23,114.56,-0.51,1.12,0.0,1.24,114.37,0.0
MEG 543,1.19,110.15,-0.41,1.12,0.0,1.19,110.16,0.0
MEG 541,1.21,112.39,-0.46,1.12,0.0,1.21,112.39,0.0
MEG 613,1.03,105.07,-0.27,1.0,0.0,1.03,105.08,0.0
